YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,95982,California,West,6.34,6.0,7.42,8.74,39.56,6.37,2.09,84500.0,CA
2020,95983,California,West,26.85,7.4,44.64,26.78,66.61,7.4,0.0,47321.0,CA
2020,95986,California,West,13.36,13.5,13.5,34.43,34.43,13.48,2.44,63750.0,CA
2020,95987,California,West,2.72,11.35,11.35,32.04,54.25,2.72,9.89,72500.0,CA
2020,95988,California,West,24.32,0.39,24.14,24.14,59.34,0.1,6.72,53855.0,CA
2020,95992,California,West,0.51,0.43,0.43,1.06,33.36,0.4,7.29,54564.0,CA
2020,95991,California,West,0.53,1.21,1.21,1.76,33.0,0.76,7.29,54564.0,CA
2020,95993,California,West,1.08,1.12,2.13,3.31,34.43,1.27,6.11,74188.0,CA
2020,96099,California,West,0.43,0.41,0.41,1.5,50.94,0.43,6.35,58673.0,CA
2020,96001,California,West,1.72,0.66,0.66,0.66,52.41,1.72,6.35,58673.0,CA
2020,96049,California,West,0.47,1.91,1.91,3.15,51.38,0.93,6.56,60102.0,CA
2020,96002,California,West,1.08,2.34,2.34,4.09,53.05,1.13,6.56,60102.0,CA
2020,96003,California,West,1.8,2.8,2.8,4.68,48.45,2.87,6.05,57301.0,CA
2020,96006,California,West,63.44,26.92,63.49,63.49,63.49,11.45,10.41,51964.0,CA
2020,96007,California,West,1.66,7.22,7.23,9.0,59.5,1.15,6.2,48996.0,CA
2020,96008,California,West,11.85,13.34,13.34,15.17,44.7,9.93,3.95,64131.0,CA
2020,96009,California,West,47.79,24.25,69.44,53.05,69.44,7.21,8.93,47153.0,CA
2020,96010,California,West,46.45,18.01,43.47,43.47,63.36,17.37,15.63,35278.0,CA
2020,96011,California,West,32.37,22.88,33.77,35.65,37.09,6.86,8.46,25089.0,CA
2020,96013,California,West,42.2,13.53,43.7,45.41,45.41,0.24,5.58,47138.0,CA
2020,96014,California,West,26.39,26.38,26.38,26.38,26.38,9.69,5.0,34125.0,CA
2020,96017,California,West,16.72,16.76,16.76,16.76,16.76,10.8,2.48,35208.0,CA
2020,96089,California,West,6.93,7.01,7.05,8.35,43.8,1.68,7.34,48586.0,CA
2020,96079,California,West,,,,,,,7.34,48586.0,CA
2020,96019,California,West,5.83,6.3,6.3,7.91,44.45,0.43,7.34,48586.0,CA
2020,96020,California,West,1.53,1.46,40.48,1.46,90.9,1.53,2.06,67208.0,CA
2020,96021,California,West,15.48,0.91,0.91,21.94,76.17,0.32,6.81,45455.0,CA
2020,96022,California,West,7.42,14.1,14.1,15.61,66.81,3.19,3.25,63606.0,CA
2020,96023,California,West,22.2,23.29,23.29,47.02,47.02,3.76,14.23,33403.0,CA
2020,96024,California,West,26.43,6.71,27.35,27.35,56.33,6.71,13.58,48125.0,CA
2020,96025,California,West,7.62,7.68,7.68,7.68,7.68,0.72,9.27,36538.0,CA
2020,96027,California,West,24.56,23.89,23.89,32.42,32.42,2.17,3.21,56801.0,CA
2020,96028,California,West,47.3,0.58,47.36,47.36,47.36,0.58,4.13,40688.0,CA
2020,96029,California,West,21.48,17.37,17.37,36.51,65.06,15.96,1.58,44327.0,CA
2020,96031,California,West,39.09,27.61,43.83,46.14,46.14,1.74,0.0,23500.0,CA
2020,96032,California,West,14.99,14.37,14.37,35.71,35.71,5.1,6.86,51380.0,CA
2020,96033,California,West,14.86,15.2,16.19,16.25,42.18,13.35,9.3,44167.0,CA
2020,96034,California,West,15.63,15.16,15.16,19.13,19.13,12.16,14.02,43750.0,CA
2020,96078,California,West,5.47,9.71,5.4,29.36,83.03,5.47,9.16,33750.0,CA
2020,96035,California,West,7.72,7.71,7.63,26.92,82.65,3.9,9.16,33750.0,CA
2020,96037,California,West,21.94,21.27,21.27,31.77,31.77,0.89,0.0,83723.0,CA
2020,96038,California,West,9.42,9.25,9.25,23.28,23.28,9.06,7.25,52375.0,CA
2020,96039,California,West,1.29,38.74,38.74,45.45,64.75,1.29,3.18,33523.0,CA
2020,96040,California,West,37.58,16.33,48.73,37.67,55.14,9.39,2.94,80875.0,CA
2020,96041,California,West,40.13,18.7,40.78,40.78,70.05,1.9,10.87,29198.0,CA
2020,96044,California,West,13.51,14.92,14.92,34.74,42.03,13.42,6.22,51786.0,CA
2020,96047,California,West,12.13,12.12,12.12,12.12,59.58,8.57,8.09,60000.0,CA
2020,96048,California,West,37.88,8.89,39.01,39.01,54.65,8.86,7.95,52950.0,CA
2020,96050,California,West,16.29,16.33,16.33,35.18,47.25,16.07,4.59,28438.0,CA
2020,96070,California,West,,,,,,,15.09,55966.0,CA
2020,96051,California,West,19.77,20.19,20.19,21.62,30.53,13.56,15.09,55966.0,CA
2020,96052,California,West,23.84,5.18,25.0,25.0,49.33,5.2,18.07,50729.0,CA
2020,96054,California,West,59.86,21.21,61.3,61.3,61.3,5.39,1.13,42386.0,CA
2020,96055,California,West,9.32,9.33,9.18,25.25,85.88,2.11,4.52,61864.0,CA
2020,96056,California,West,52.33,11.07,56.68,52.41,56.68,8.61,11.85,59650.0,CA
2020,96057,California,West,17.06,17.1,17.1,17.1,17.1,9.34,13.41,43487.0,CA
2020,96058,California,West,33.38,35.37,35.37,35.98,35.98,14.58,20.91,39821.0,CA
2020,96059,California,West,23.86,29.8,28.31,31.65,66.04,4.74,2.72,108102.0,CA
2020,96062,California,West,10.08,12.43,12.43,14.05,53.67,10.28,1.73,78684.0,CA
2020,96063,California,West,19.95,19.99,34.83,19.99,76.81,17.73,0.0,51250.0,CA
2020,96064,California,West,10.65,11.29,11.29,29.21,29.21,10.82,5.68,50191.0,CA
2020,96067,California,West,0.06,0.12,0.12,0.12,0.12,0.06,8.26,49324.0,CA
2020,96069,California,West,19.66,21.19,21.19,22.94,45.51,7.95,6.26,65417.0,CA
2020,96073,California,West,6.12,7.66,7.66,9.21,52.44,6.12,5.02,101576.0,CA
2020,96074,California,West,25.41,22.75,22.75,41.64,62.12,21.35,0.0,45625.0,CA
2020,96076,California,West,31.45,24.47,31.59,31.59,72.72,14.63,5.97,27619.0,CA
2020,96080,California,West,0.6,17.53,2.62,28.07,78.7,0.88,5.55,49259.0,CA
2020,96084,California,West,29.27,26.18,30.64,32.53,36.2,5.14,10.12,31563.0,CA
2020,96085,California,West,7.54,34.25,34.25,50.01,57.41,7.54,3.03,53125.0,CA
2020,96086,California,West,8.53,32.12,32.12,38.5,60.41,8.53,9.21,41917.0,CA
2020,96095,California,West,9.88,10.33,11.21,11.21,46.49,10.67,4.15,41875.0,CA
2020,96087,California,West,5.38,5.91,6.66,6.66,49.0,7.29,4.15,41875.0,CA
2020,96088,California,West,22.47,27.2,27.2,28.92,60.65,1.65,3.68,53654.0,CA
2020,96090,California,West,9.92,6.96,6.96,24.45,83.46,1.19,2.98,45625.0,CA
2020,96091,California,West,29.51,22.0,29.51,29.51,29.51,22.06,5.01,44922.0,CA
2020,96092,California,West,16.65,8.24,8.24,17.81,84.41,5.99,0.0,62375.0,CA
2020,96093,California,West,33.48,16.34,34.72,34.88,36.01,16.4,7.27,45208.0,CA
2020,96094,California,West,10.01,10.0,10.0,10.0,10.0,1.93,4.21,54451.0,CA
2020,96096,California,West,21.66,23.27,23.27,24.85,50.41,10.95,8.64,54844.0,CA
2020,96097,California,West,0.29,0.51,0.51,32.36,32.36,0.29,4.14,42559.0,CA
2020,96101,California,West,73.45,2.15,48.49,89.43,91.28,2.16,11.59,50845.0,CA
2020,96103,California,West,40.25,10.72,40.37,46.76,49.59,0.93,1.41,68526.0,CA
2020,96104,California,West,71.1,2.99,48.72,99.98,113.57,3.04,9.73,41184.0,CA
